shuffled_lender_id,treatment_id,join,join_rec,opened,amt_diff_1d,amt_diff_7d,amt_diff_30d
0,7,0,0,1,0.0,0.0,-50.0
1,3,0,0,1,0.0,0.0,0.0
2,4,0,0,1,0.0,0.0,0.0
3,2,0,0,0,0.0,0.0,0.0
4,5,0,0,0,0.0,0.0,0.0
5,4,0,0,0,0.0,0.0,-125.0
6,4,0,0,0,0.0,0.0,0.0
7,3,0,0,1,0.0,0.0,0.0
8,2,0,0,0,0.0,0.0,-25.0
9,8,0,0,1,0.0,0.0,0.0
10,4,0,0,1,0.0,0.0,-25.0
11,6,0,0,0,0.0,0.0,0.0
12,3,0,0,1,0.0,-25.0,-25.0
13,5,0,0,0,0.0,0.0,0.0
14,4,0,0,0,0.0,0.0,50.0
15,2,1,0,1,0.0,0.0,0.0
16,2,0,0,0,0.0,0.0,0.0
17,3,0,0,0,0.0,0.0,25.0
18,3,0,0,0,0.0,0.0,-250.0
19,8,0,0,0,0.0,0.0,0.0
20,7,0,0,1,0.0,0.0,-50.0
21,5,0,0,0,0.0,0.0,-25.0
22,8,0,0,0,0.0,0.0,0.0
23,1,0,0,0,0.0,0.0,-50.0
24,3,0,0,0,0.0,0.0,-50.0
25,6,0,0,0,0.0,0.0,-125.0
26,8,0,0,1,0.0,0.0,25.0
27,7,0,0,0,0.0,0.0,0.0
28,8,0,0,1,0.0,0.0,0.0
29,1,0,0,0,0.0,0.0,0.0
30,2,0,0,1,0.0,0.0,0.0
31,8,0,0,1,0.0,0.0,0.0
32,6,0,0,1,0.0,-25.0,-25.0
33,1,0,0,0,0.0,0.0,25.0
34,6,0,0,1,0.0,-25.0,-25.0
35,2,0,0,0,0.0,0.0,0.0
36,7,0,0,0,0.0,0.0,0.0
37,4,0,0,0,0.0,0.0,-25.0
38,2,0,0,1,0.0,0.0,0.0
39,6,0,0,1,0.0,0.0,0.0
40,6,0,0,0,0.0,0.0,0.0
41,4,0,0,1,0.0,0.0,0.0
42,1,0,0,0,0.0,0.0,0.0
43,3,0,0,0,0.0,-900.0,-900.0
44,7,0,0,0,0.0,-100.0,-100.0
45,6,0,0,0,0.0,0.0,0.0
46,7,0,0,1,0.0,0.0,-25.0
47,4,0,0,1,0.0,0.0,0.0
48,1,0,0,0,0.0,0.0,100.0
49,3,0,0,1,0.0,0.0,0.0
50,6,0,0,1,0.0,0.0,0.0
51,3,0,0,0,0.0,0.0,0.0
52,1,0,0,0,0.0,0.0,-25.0
53,3,0,0,0,0.0,0.0,0.0
54,6,0,0,0,0.0,0.0,0.0
55,1,0,0,0,0.0,0.0,25.0
56,2,0,0,1,0.0,0.0,0.0
57,8,0,0,1,0.0,0.0,-25.0
58,2,0,0,1,0.0,-25.0,-25.0
59,1,0,0,0,-25.0,-50.0,-150.0
60,5,0,0,0,0.0,0.0,0.0
61,5,0,0,0,0.0,0.0,0.0
62,7,0,0,0,0.0,0.0,0.0
63,5,0,0,0,0.0,0.0,-125.0
64,7,0,0,1,0.0,0.0,0.0
65,8,0,0,1,0.0,0.0,25.0
66,2,0,0,0,0.0,0.0,0.0
67,4,0,0,1,0.0,0.0,0.0
68,8,0,0,0,0.0,0.0,25.0
69,1,0,0,0,0.0,-50.0,-75.0
70,8,0,0,1,0.0,0.0,0.0
71,2,0,0,1,0.0,0.0,-25.0
72,4,0,0,0,0.0,0.0,675.0
73,7,0,0,0,0.0,-50.0,-50.0
74,1,0,0,0,0.0,0.0,50.0
75,2,0,0,1,0.0,-25.0,-25.0
76,5,0,0,0,0.0,0.0,0.0
77,7,0,0,0,0.0,0.0,50.0
78,8,0,0,1,0.0,0.0,0.0
79,3,0,0,1,0.0,-25.0,-25.0
80,2,0,0,1,0.0,0.0,-75.0
81,7,0,0,1,0.0,-50.0,-25.0
82,3,0,0,0,0.0,0.0,0.0
83,3,0,0,1,0.0,0.0,0.0
84,6,0,0,0,0.0,0.0,0.0
85,6,0,0,0,0.0,0.0,825.0
86,6,0,0,0,0.0,0.0,-75.0
87,6,0,0,1,0.0,-25.0,-25.0
88,1,0,0,0,0.0,-25.0,-25.0
89,7,0,0,1,0.0,0.0,0.0
90,7,0,0,1,0.0,0.0,-50.0
91,2,0,0,1,0.0,0.0,0.0
92,6,0,0,1,0.0,0.0,0.0
93,1,0,0,0,0.0,-50.0,-25.0
94,1,0,0,0,0.0,0.0,0.0
95,5,0,0,0,0.0,0.0,525.0
96,4,0,0,0,0.0,0.0,0.0
97,7,0,0,0,0.0,0.0,0.0
98,7,0,0,0,0.0,0.0,-25.0
99,4,0,0,0,0.0,0.0,0.0
100,7,0,0,0,0.0,0.0,0.0
101,3,0,0,1,0.0,0.0,-25.0
102,1,0,0,0,0.0,0.0,0.0
103,2,0,0,1,0.0,0.0,0.0
104,3,0,0,0,0.0,-25.0,-25.0
105,1,0,0,0,0.0,0.0,0.0
106,4,0,0,1,0.0,0.0,0.0
107,5,0,0,1,0.0,0.0,25.0
108,5,0,0,0,0.0,0.0,0.0
109,5,0,0,0,0.0,0.0,0.0
110,4,0,0,1,75.0,75.0,75.0
111,3,0,0,1,0.0,0.0,0.0
112,8,0,0,1,0.0,-100.0,-75.0
113,4,0,0,1,0.0,0.0,25.0
114,1,0,0,0,0.0,125.0,125.0
115,2,0,0,0,0.0,0.0,0.0
116,8,0,0,0,0.0,0.0,-50.0
117,6,0,0,1,0.0,0.0,0.0
118,4,0,0,1,0.0,0.0,125.0
119,7,0,0,0,0.0,0.0,-100.0
